,runstring,m1,m2,m3
292,0000292.bin,7.592634395284313e-07,1.0802608179808823e-06,7.434869823080981e-06
293,0000293.bin,7.914227022578627e-07,1.1983085669036276e-06,3.597436101138431e-06
294,0000294.bin,6.04372089393902e-07,2.477194206055196e-07,7.749780194851373e-06
295,0000295.bin,2.0979004706267447e-06,2.985603475560588e-07,2.2325896362938236e-06
296,0000296.bin,8.776824875474117e-06,9.150915815918627e-07,3.11126520848e-06
297,0000297.bin,1.0802608179808823e-06,6.988121639350392e-07,3.3110143009360785e-06
298,0000298.bin,1.5369677691715684e-06,5.336498010569216e-07,9.73593067842353e-06
299,0000299.bin,2.279380940001432e-06,1.036364690961039e-06,5.5611070696974504e-06
300,0000300.bin,2.529112007943529e-07,4.911615031684707e-07,5.013271404317647e-06
301,0000301.bin,1.3292562292477254e-06,4.1606411087978434e-07,1.2749160164328824e-05
302,0000302.bin,5.679111244445295e-07,1.036364690961039e-06,3.2430455498617646e-06
303,0000303.bin,4.5205605196011757e-07,9.150915815918627e-07,1.8912321425672746e-06
304,0000304.bin,4.910358591121176e-06,3.3118615084456866e-07,1.0799844763915491e-05
305,0000305.bin,1.1257281573240783e-05,6.988121639350392e-07,2.1867588679967845e-06
306,0000306.bin,5.919654935984706e-07,9.738421864740198e-07,3.523587661767843e-06
307,0000307.bin,6.04372089393902e-07,2.529112007943529e-07,7.282246255065293e-06
308,0000308.bin,6.170387064578431e-07,4.810789028199216e-07,1.852408786626157e-06
309,0000309.bin,3.908635036132156e-06,1.0802608179808823e-06,8.779070650097647e-07
310,0000310.bin,1.2234230882515098e-06,6.704161071675295e-07,4.426629446482942e-06
311,0000311.bin,2.0548346116729805e-06,1.0802608179808823e-06,4.519404114743726e-06
312,0000312.bin,2.187318406057098e-07,4.159576774939019e-06,3.7498086331307844e-06
313,0000313.bin,2.233160901327098e-07,2.9235667132941175e-06,4.614123183137255e-06
314,0000314.bin,5.919654935984706e-07,4.911615031684707e-07,2.1867588679967845e-06
315,0000315.bin,7.914227022578627e-07,2.9235667132941175e-06,5.225612870853725e-06
316,0000316.bin,9.53851080683902e-07,7.592634395284313e-07,3.828398281579019e-06
317,0000317.bin,1.4145969853898238e-06,4.911615031684707e-07,4.335759263634118e-06
318,0000318.bin,6.988121639350392e-07,1.7771366208366078e-06,3.2430455498617646e-06
319,0000319.bin,2.74719181886449e-06,7.592634395284313e-07,1.0799844763915491e-05
320,0000320.bin,3.3118615084456866e-07,9.342703538179216e-07,4.519404114743726e-06
321,0000321.bin,1.1983085669036276e-06,3.523587661767843e-06,2.327152910311922e-06
